latitude,longitude,region
18.26904,-64.73508,STTSTJ
18.30952,-64.68109,STTSTJ
18.32076,-64.65245,STTSTJ
18.32477,-64.6484,STTSTJ
18.335,-64.68857,STTSTJ
18.35817,-64.67858,STTSTJ
18.36171,-64.7827,STTSTJ
18.36241,-64.77879,STTSTJ
18.36446,-64.77544,STTSTJ
18.27725,-64.9617,STTSTJ
18.30225,-65.00388,STTSTJ
18.30214,-64.99927,STTSTJ
18.30657,-64.90177,STTSTJ
18.37698,-64.96288,STTSTJ
18.30008,-64.83404,STTSTJ
18.31181,-64.85633,STTSTJ
18.17931,-65.10354,STTSTJ
18.17915,-65.1033,STTSTJ
18.1908,-64.73746,STTSTJ
18.19413,-64.73676,STTSTJ
18.23475,-64.65675,STTSTJ
18.23552,-64.84689,STTSTJ
18.23649,-64.84802,STTSTJ
18.26007,-64.97396,STTSTJ
18.2634,-64.89518,STTSTJ
18.2644,-64.8888,STTSTJ
18.29378,-64.79564,STTSTJ
18.26586,-65.10354,STTSTJ
18.27265,-65.13972,STTSTJ
18.27842,-65.14078,STTSTJ
18.28289,-65.14229,STTSTJ
18.28382,-65.13102,STTSTJ
18.2897,-65.1379,STTSTJ
18.29405,-65.1397,STTSTJ
18.29592,-65.14465,STTSTJ
18.30691,-65.14498,STTSTJ
18.30704,-65.1337,STTSTJ
18.31006,-65.1465,STTSTJ
18.32787,-64.80966,STTSTJ
18.33914,-64.8188,STTSTJ
18.34479,-64.83426,STTSTJ
18.35186,-64.80509,STTSTJ
18.36779,-64.69295,STTSTJ
18.36828,-64.69179,STTSTJ
18.36957,-64.69245,STTSTJ
18.37008,-64.6964,STTSTJ
18.37101,-64.69267,STTSTJ
18.37067,-64.68557,STTSTJ
18.37129,-64.68398,STTSTJ
18.37795,-64.74236,STTSTJ
18.35126,-64.80218,STTSTJ
18.35969,-64.79271,STTSTJ
18.36214,-64.68942,STTSTJ
18.37087,-64.73077,STTSTJ
18.37075,-64.71908,STTSTJ
18.37131,-64.72815,STTSTJ
18.37225,-64.72795,STTSTJ
18.37362,-64.74552,STTSTJ
18.30175,-64.96889,STTSTJ
18.33763,-65.06265,STTSTJ
18.34148,-65.05565,STTSTJ
18.34432,-65.05556,STTSTJ
18.3493,-64.85209,STTSTJ
18.35123,-64.85762,STTSTJ
18.35367,-64.87031,STTSTJ
18.35865,-64.84563,STTSTJ
18.36474,-64.88351,STTSTJ
18.36487,-64.87913,STTSTJ
18.36965,-65.01575,STTSTJ
18.37182,-65.02722,STTSTJ
18.37578,-64.95911,STTSTJ
18.37882,-64.88816,STTSTJ
18.3845,-64.9889,STTSTJ
18.38483,-64.95964,STTSTJ
18.38587,-64.98812,STTSTJ
18.39212,-64.86327,STTSTJ
18.40496,-65.04853,STTSTJ
18.29501,-64.75703,STTSTJ
18.29407,-64.74545,STTSTJ
18.30114,-64.69199,STTSTJ
18.30188,-64.73372,STTSTJ
18.35444,-64.83466,STTSTJ
18.34933,-64.69992,STTSTJ
18.3508,-64.69487,STTSTJ
18.35779,-64.77686,STTSTJ
18.36237,-64.75802,STTSTJ
18.36735,-64.75844,STTSTJ
18.32541,-64.83038,STTSTJ
18.34608,-64.98832,STTSTJ
18.3068,-64.84767,STTSTJ
18.30894,-64.85954,STTSTJ
18.27214,-64.84153,STTSTJ
18.27665,-64.84344,STTSTJ
18.29123,-64.80314,STTSTJ
18.27549,-64.70657,STTSTJ
18.28103,-64.69869,STTSTJ
18.28161,-64.69806,STTSTJ
18.28246,-64.69087,STTSTJ
18.28477,-64.68302,STTSTJ
18.30369,-64.6923,STTSTJ
18.30645,-64.68592,STTSTJ
18.31897,-64.64056,STTSTJ
18.32393,-64.67608,STTSTJ
18.35547,-64.83408,STTSTJ
18.35973,-64.79604,STTSTJ
18.36834,-64.79821,STTSTJ
18.3694,-64.68846,STTSTJ
18.36261,-64.77879,STTSTJ
18.30311,-64.71059,STTSTJ
18.31429,-64.73415,STTSTJ
18.35582,-64.78759,STTSTJ
18.35997,-64.78625,STTSTJ
18.36967,-64.76204,STTSTJ
18.2747,-64.88575,STTSTJ
18.30158,-65.01209,STTSTJ
18.30405,-64.82109,STTSTJ
18.30762,-65.01057,STTSTJ
18.32225,-64.81996,STTSTJ
18.36261,-64.87663,STTSTJ
18.39353,-64.91331,STTSTJ
18.39751,-64.89677,STTSTJ
18.30856,-64.85671,STTSTJ
18.30995,-64.84431,STTSTJ
18.32151,-64.83234,STTSTJ
18.28398,-64.81492,STTSTJ
18.29037,-64.80698,STTSTJ
18.29947,-64.69217,STTSTJ
18.31066,-64.65932,STTSTJ
18.31504,-64.69862,STTSTJ
18.31519,-64.68393,STTSTJ
18.33285,-64.66449,STTSTJ
18.33465,-64.69319,STTSTJ
18.30808,-64.71913,STTSTJ
18.36346,-64.69557,STTSTJ
18.36386,-64.8947,STTSTJ
18.36974,-64.99445,STTSTJ
18.2991,-64.83288,STTSTJ
18.30662,-64.82552,STTSTJ
18.31693,-64.69948,STTSTJ
18.33743,-64.66258,STTSTJ
18.335,-64.6892,STTSTJ
18.33591,-64.68895,STTSTJ
18.34187,-64.68916,STTSTJ
18.34453,-64.68193,STTSTJ
18.31608,-64.737,STTSTJ
18.36418,-64.73107,STTSTJ
18.2988,-64.81875,STTSTJ
18.32857,-64.97172,STTSTJ
18.33628,-64.84513,STTSTJ
18.37158,-64.92872,STTSTJ
18.30335,-64.87498,STTSTJ
18.30781,-64.84619,STTSTJ
18.32356,-64.83356,STTSTJ
18.23106,-64.85307,STTSTJ
18.23283,-64.85319,STTSTJ
18.37305,-64.74329,STTSTJ
18.37295,-64.74273,STTSTJ
18.32831,-64.95474,STTSTJ
18.34711,-64.66856,STTSTJ
18.35081,-64.69487,STTSTJ
18.35139,-64.69294,STTSTJ
18.34931,-64.67914,STTSTJ
18.36251,-64.69399,STTSTJ
18.34307,-64.98274,STTSTJ
18.30113,-64.83047,STTSTJ
18.32106,-64.84169,STTSTJ
18.35575,-64.83791,STTSTJ
18.36309,-64.79739,STTSTJ
18.34159,-64.68487,STTSTJ
18.34524,-64.68397,STTSTJ
18.32096,-64.74699,STTSTJ
18.35617,-64.76306,STTSTJ
18.35777,-64.76586,STTSTJ
18.36146,-64.77109,STTSTJ
18.36857,-64.75553,STTSTJ
18.27585,-64.89687,STTSTJ
18.32472,-64.96563,STTSTJ
18.32765,-64.97366,STTSTJ
18.33492,-64.97612,STTSTJ
18.35669,-64.85403,STTSTJ
18.36573,-65.00903,STTSTJ
18.3797,-64.96581,STTSTJ
18.40427,-64.90728,STTSTJ
18.30152,-64.87688,STTSTJ
18.30439,-64.82691,STTSTJ
18.34555,-64.67998,STTSTJ
18.34807,-64.67771,STTSTJ
18.33822,-64.69098,STTSTJ
18.35338,-64.69506,STTSTJ
18.31369,-64.75665,STTSTJ
18.31436,-64.75747,STTSTJ
18.34762,-64.78175,STTSTJ
18.36419,-64.93657,STTSTJ
18.31701,-64.83503,STTSTJ
18.29946,-64.70415,STTSTJ
18.31561,-64.72647,STTSTJ
18.31029,-64.96022,STTSTJ
18.30391,-64.84787,STTSTJ
18.3378,-64.79792,STTSTJ
18.36311,-64.77542,STTSTJ
18.30526,-64.95754,STTSTJ
18.36782,-64.7054,STTSTJ
18.36855,-64.71772,STTSTJ
18.36437,-64.77161,STTSTJ
18.34387,-64.79642,STTSTJ
18.35666,-64.7948,STTSTJ
18.31254,-65.00014,STTSTJ
18.37459,-64.98747,STTSTJ
18.3547,-64.66897,STTSTJ
18.30566,-65.00642,STTSTJ
18.36065,-64.75308,STTSTJ
18.36098,-64.76263,STTSTJ
18.37338,-64.74074,STTSTJ
18.37392,-64.74235,STTSTJ
18.36017,-64.80592,STTSTJ
18.31389,-64.859,STTSTJ
18.36555,-64.79974,STTSTJ
18.356,-64.76293,STTSTJ
18.35643,-64.75731,STTSTJ
18.36538,-64.77442,STTSTJ
18.36728,-64.72093,STTSTJ
18.3194,-64.98784,STTSTJ
18.32837,-64.80996,STTSTJ
